"audit_index","noun","disposition","severity","category","reason","recommendation"
"2106","die Hybridität","review","medium","sensitive-representation","The image uses one Black woman's clothing and appearance as the entire visual shorthand for cultural hybridity. It is reductive and does not show interaction between cultural forms.","Use a neutral collage of blended languages, art, food, music or architecture rather than assigning hybridity to one person's appearance."
"2122","der Höhlenbär","review","medium","species-ambiguity","The generated animal is visually indistinguishable from a modern brown bear and has no reconstruction, fossil or cave context to establish the extinct cave-bear species.","Use a scientifically reviewed reconstruction beside a cave-bear skeleton or fossil and label it clearly."
"2129","die Hülsenfrucht","data-error","medium","catalogue-identity-collision","This one approved image ID maps to two current Hülsenfrucht workbook rows, 3080 and 4222. The audit and app cannot distinguish the duplicated entries.","Deduplicate the equivalent rows or give each intended sense a stable unique ID before approving media."
"2264","der Juryvorsitz","reject","high","wrong-profession","The image depicts a German courtroom judge in robes, not a person chairing a jury. Judge and jury chair are different roles.","Show the chair of a multi-person jury panel leading deliberation or announcing a jury decision."
"2354","der Kegel","data-error","high","translation-sense-conflict","The skittle-pin image agrees with the German example and English sentence, but the English headword says cone. The card therefore combines two different senses of Kegel.","Choose one sense and make the translation, example sentences and image agree; for this image use skittle or bowling pin."
"2471","die Klimazone","reject","high","climate-mismatch","The supposed tropical climate zone is shown as a recognisably temperate European suburb with tiled roofs, plus incongruous banana plants and heavy rain.","Use a climate-zone map highlighting the tropics or a geographically coherent tropical rainforest scene."
"2482","der Knallfrosch","review","medium","unsafe-depiction","The noun and jumping crackers are recognisable, but children are shown standing extremely close to active burning fireworks and one appears to jump over them.","Show the crackers before use or depict supervised viewing from a clearly safe distance."
"2599","der Kosename","review","medium","insufficient-semantic-cue","Heart and emoji chat bubbles communicate affection but no nickname or name, so Kosename is not distinguishable from a loving message.","Show an affectionate but legible nickname being used in a message or dialogue."
"2635","das Kreuzworträtsel","reject","medium","ai-diagram-artifact","The crossword is recognisable, but its grid contains repeated and inconsistent clue numbers throughout and is not a valid puzzle.","Use a real internally consistent crossword grid with valid numbering, or a clean unnumbered crossword icon."
"2764","das Lammfleisch","reject","high","wrong-food","The raw steaks and cooked roast have the colour, cut and marbling of beef rather than lamb, so the image teaches the wrong meat.","Use unmistakable lamb cuts or a labelled lamb dish with no competing meat."
"2795","das Laufrad","reject","high","wrong-object","The pictured children's bicycle has pedals, cranks and a chain. A Laufrad in this sense is a pedal-free balance bike.","Use a child-sized balance bike with no pedals, crankset or chain."
"3068","die Meeresschlange","reject","high","wrong-species","The snake is depicted like a terrestrial grass or beach snake and lacks the laterally flattened paddle tail characteristic of a true sea snake.","Use a scientifically accurate sea snake swimming underwater with its paddle-shaped tail visible."
"3203","der Monoski","reject","high","malformed-equipment","The generated ski equipment is a two-runner or snowboard-like hybrid rather than a single monoski, and the stance and bindings are structurally unclear.","Use a clear front or side view of a skier with both boots mounted on one single wide ski."
"3224","der Mount Everest","review","medium","unverifiable-landmark","The image is a generic sharp pyramidal mountain with no recognisable Everest viewpoint or surrounding geography. Its identity as Mount Everest cannot be established.","Use a licensed or otherwise verifiable Everest photograph from a standard viewpoint with distinctive surrounding peaks."
"3370","der Nenner","reject","high","invalid-math-diagram","The image shows a fraction bar with an empty outline above and a pentagonal block below, not a valid fraction with a denominator.","Show a simple fraction such as 3/4 and clearly highlight the 4 below the fraction bar."
"3692","die Posaune","reject","high","wrong-object","The instrument has piston valves and no slide, so it is a trumpet or cornet rather than a trombone.","Use a trombone with its long movable slide clearly visible."
"3895","das Reihenhaus","reject","high","wrong-building-type","The image centres on a detached house with open space on both sides. A Reihenhaus must be physically attached to neighbouring houses in a row.","Show three or more adjoining terraced houses sharing side walls."
"4032","die Rüstung","reject","high","sense-and-period-mismatch","The example is a knight polishing armour before battle, but the image depicts modern riot or tactical body armour.","Show recognisable medieval plate armour belonging to a knight."
"4344","der Sekt","reject","medium","ai-text-artifact","The sparkling wine itself is correct, but the prominent bottle label is generated pseudo-branding with nonsense text such as SERTIX and malformed fine print.","Use an unbranded sparkling-wine bottle and glasses with no generated lettering."
"4610","der Stachel","review","medium","missing-target-object","The image shows an intact bee on paving, but the target is its stinger and the example says the stinger remained in skin; no stinger or skin is visible.","Use a safe macro illustration highlighting the bee's stinger, or the detached stinger in skin without gore."
"4763","der Stundentakt","reject","high","ai-text-and-data-artifact","The generated sheet is blank, contains no hourly bus times and visibly misspells the heading as Stundertakt instead of Stundentakt.","Use a real-looking bus timetable with legible departures exactly one hour apart and correctly spelled German."
"4955","der Tiername","review","medium","semantic-mismatch","The image shows a deer, which illustrates an animal rather than an animal's name. No naming, label or forgetting action is visible.","Show several animals with name labels and one blank or question-mark label to express a forgotten animal name."
"4958","der Tierpfleger","data-error","medium","catalogue-identity-collision","This one approved image ID maps to two current Tierpfleger workbook rows, 3084 and 4988. The audit and app cannot distinguish the duplicated entries.","Deduplicate the equivalent rows or give each intended sense a stable unique ID before approving media."
"5193","der Vektor","reject","high","invalid-math-diagram","The arrow has heads at both ends. A vector has one direction and magnitude, so this diagram contradicts the example sentence.","Use a single-headed arrow on a grid with a clearly marked start, direction and length."
"5350","die Wahrheit","review","medium","symbol-mismatch","The crystal-ball city scene suggests prediction or fortune-telling and provides no cue for truth or for truth being painful.","Use a context such as someone revealing verified facts despite an uncomfortable reaction."
"5413","die Webcam","review","medium","device-ambiguity","The image is visually a pole-mounted surveillance camera. Although an outdoor network camera can stream weather, learners may reasonably identify it as an Überwachungskamera rather than a Webcam.","Show a recognisable weather webcam with a live weather feed on a monitor, or a conventional computer webcam."
"5468","die Werbesprache","reject","high","ai-text-artifact","The advertising poster contains prominent learner-facing errors and pseudo-words, including Angobot instead of Angebot and a nonsense bottle label.","Use a designed advertisement with reviewer-written, correctly spelled German copy and an unbranded product."
"5755","der Zähler","reject","high","wrong-sense","The image is a mechanical counter or meter. The selected sense and example are mathematical numerator, which should appear above a fraction bar.","Show a simple fraction and highlight the numerator above the bar."
"5774","das Überraschungsei","review","medium","trademark-and-ai-text","The image reproduces Kinder trade dress and the Kinder name while nearby generated package text is nonsensical. This creates avoidable branding and hallucinated-text risk.","Use a generic foil-wrapped chocolate surprise egg without a logo, trademarked trade dress or generated writing."
